,time,F3,F4,P3,P4
322,622,2.7031105934170854,-20.014928527297066,1.3851552746830285,1.4391248506901757
323,623,2.6388346316903872,-20.057706501899155,1.3280343754700856,1.439010028333003
324,624,2.5540065948128103,-20.122501742907325,1.271662702388319,1.4508614972220497
325,625,2.448325287164181,-20.211035029247306,1.2156360608240393,1.469923295187672
326,626,2.322723692752714,-20.32344394578579,1.1594268835137127,1.491128534605466
327,627,2.1794644041136992,-20.4581472070569,1.1025000101690439,1.5095341786159868
328,628,2.0222134883570337,-20.611646663659343,1.0444340781398713,1.5207813293362153
329,629,1.8561567922397124,-20.778419047451294,0.9850959243701266,1.5215092170089506
330,630,1.6877204240574095,-20.95135449963019,0.9246589695355838,1.5094914100446333
331,631,1.5239299810581537,-21.12246857631318,0.8634508270538186,1.4835985948917527
332,632,1.3720827556013568,-21.283229371817214,0.8019617464977395,1.443943641718209
333,633,1.2395425309431363,-21.42489000850327,0.7409311091850983,1.391974203158436
334,634,1.1329932957144773,-21.539404322138896,0.6811290685209854,1.3301408055597468
335,635,1.0576740375302458,-21.620246202435773,0.6230474691826801,1.2614458837634104
336,636,1.0172993630688558,-21.66253373118849,0.5669195863185341,1.1893022379369687
337,637,1.0139736270892064,-21.663236314294597,0.512790396002949,1.1173743214541345
338,638,1.0476130621656634,-21.62185944768251,0.4603488790519937,1.0491315790263853
339,639,1.11580867709218,-21.540631395348555,0.4088875604471751,0.9874915607744386
340,640,1.2144471470225944,-21.42390641749935,0.35749725468714255,0.9347499426198635
341,641,1.3380447707564518,-21.277823460294243,0.3051317954323711,0.8924469982474059
342,642,1.4795991064354408,-21.11039416061391,0.2505458132325347,0.8611228930125722
343,643,1.630867230151055,-20.93111181014195,0.19237675367745719,0.8402596644648024
344,644,1.7831168862497415,-20.75008653796695,0.12932130632700267,0.8284009405425509
345,645,1.9276527830310892,-20.577454523671022,0.060266128031535506,0.8232771212944457
346,646,2.0561783231958937,-20.422944340735793,-0.015584502120816383,0.8219614832717805
347,647,2.1613182716601513,-20.29522773882351,-0.09861543156219518,0.8211008703994704
348,648,2.237134366148456,-20.20130338188815,-0.1887508751346274,0.8171613109390428
349,649,2.279551121070511,-20.146030940316507,-0.2853491433745024,0.8067418761935787
350,650,2.2866919527099614,-20.131743016399263,-0.3870824636403684,0.7869278345498301
351,651,2.2588110866913462,-20.158254331678126,-0.4920232229026327,0.7554819414299783
352,652,2.1979734934539072,-20.223190888273326,-0.5978597750996697,0.7108902295642263
353,653,2.108081663233516,-20.322022315608027,-0.7019519389509216,0.6525124227481269
354,654,1.9949719786280087,-20.448013059309513,-0.8012917506739616,0.5807934862471027
355,655,1.865859440743764,-20.592836788844004,-0.892684796852228,0.49723104728501943
356,656,1.728515491728617,-20.747488553242093,-0.9730787677367516,0.40412993682310216
357,657,1.5909649961101224,-20.902674281609084,-1.0397193539968894,0.30446607909026535
358,658,1.4613666500937805,-21.04901000557299,-1.0901725105629838,0.20184559848631228
359,659,1.347415495704279,-21.177700739794354,-1.1224946229840644,0.10024933050298897
360,660,1.255620871105892,-21.281313137065357,-1.135463846595855,0.003632651847782753
361,661,1.1909273896337178,-21.354184791642584,-1.1286428261564847,-0.0843288755719936
362,662,1.1564232863093398,-21.392768522338784,-1.102394104317525,-0.16045751561764085
363,663,1.1531343137206356,-21.39588866337945,-1.0579609218427035,-0.22236865876343756
364,664,1.1802145362797376,-21.364533226732334,-0.997420133341322,-0.2686229767430626
365,665,1.2351324064618878,-21.301601998667095,-0.923513373839546,-0.29872470633559206
366,666,1.3135634345111329,-21.21195252833916,-0.8395538681556595,-0.3131963713054596
367,667,1.409501606985469,-21.1022209522565,-0.7493823178723409,-0.31368388114863927
368,668,1.5157724625122617,-20.98023384142533,-0.6571987316850996,-0.30287290100148945
369,669,1.6246206764908275,-20.85439561307357,-0.5672480191775789,-0.284216392400922
370,670,1.7282337754338999,-20.73315590885798,-0.48355510673679375,-0.2616726667716764
371,671,1.8190511880427813,-20.624637909699683,-0.4098773441615118,-0.23958472118687293
372,672,1.8899010304827573,-20.53641048940083,-0.34970368316180184,-0.22253712045225912
373,673,1.9344756855207133,-20.47496145772039,-0.30601078822445127,-0.21496554899320683
374,674,1.9481607179298006,-20.44488168398718,-0.28091879332364994,-0.22064386560901889
375,675,1.928481457964532,-20.448477391484403,-0.27555723972523294,-0.24237903242027473
376,676,1.8748736135449948,-20.486040693961716,-0.29013062775269816,-0.281940434807843
377,677,1.7883704410044983,-20.556174526309693,-0.323954009976023,-0.34000921654125776
378,678,1.67178500443272,-20.655669572967614,-0.3753631224598002,-0.41598253992362993
379,679,1.53003444371399,-20.779257745018413,-0.44164390534097825,-0.5077394073065062
380,680,1.3697620625335059,-20.919982402664235,-0.519202159222834,-0.6116853269901137
381,681,1.1983880131520135,-21.07012693979562,-0.6038833513377575,-0.7230979191799102
382,682,1.0236717774229993,-21.221753245800016,-0.69110595908516,-0.8363529460552495
383,683,0.8539040103123257,-21.366606699054458,-0.7758273981558609,-0.9449346379498919
384,684,0.6976347341624343,-21.496329719607346,-0.8527073713720453,-1.0416493930229622
385,685,0.5626837641512669,-21.603368778091678,-0.9165188704378566,-1.1191749419592016
386,686,0.4553947832419522,-21.68173306739167,-0.962462262374857,-1.170542983747757
387,687,0.38048934802661,-21.72715226980988,-0.9862727365026285,-1.1894119282346174
388,688,0.34102510116035867,-21.737084575729128,-0.9843308336179675,-1.170327795671001
389,689,0.338296771625496,-21.71076620483847,-0.9538466323079071,-1.109001385042173
390,690,0.3716638291209448,-21.64930404135967,-0.8930788766931153,-1.002586203827806
391,691,0.4381979947619106,-21.555972628297944,-0.801568465224209,-0.8500614867183459
392,692,0.532708912737584,-21.436217485130022,-0.68018224792629,-0.6524501475280499
393,693,0.6485159902743224,-21.296911322049738,-0.530902881831401,-0.4125911402674666
394,694,0.7780304780554017,-21.14572689948273,-0.3567312337476243,-0.13490784999994052
395,695,0.9126863851382196,-20.991171494148016,-0.1618239471848579,0.17449552036106053
396,696,1.0432095631976779,-20.84235447279764,0.048589979772563546,0.5079092930656839
397,697,1.1604589221294028,-20.708201264919715,0.26863202804779185,0.856534036184949
398,698,1.2560252794235296,-20.596909347992753,0.49213609244415374,1.2109721888806404
399,699,1.3226457791129629,-20.51559583682876,0.7128516823573577,1.561558891431252
400,700,1.35477058279769,-20.469751930891576,0.9246717992830021,1.8987887437281539
401,701,1.3488767132994635,-20.462927089954146,1.1219139560371554,2.2137889016014545
402,702,1.303566052763541,-20.496690268270033,1.2996272606320292,2.4987101355805037
403,703,1.2198612531480206,-20.570381161005848,1.4538797716904146,2.7470742333919893
404,704,1.1012135559488812,-20.68102963728443,1.5818688010387825,2.9540298304268933
405,705,0.9530006797679985,-20.823783638749674,1.681953681003273,3.116500481190809
406,706,0.7823464558405655,-20.99211306702001,1.753839317556784,3.233383147100646
407,707,0.5982016583357171,-21.17772203203841,1.7987060940611508,3.3056631962561265
408,708,0.41065441749602183,-21.37112868001632,1.8189492898140678,3.336164223237342
409,709,0.22975107315403753,-21.562740349758503,1.8177972996382665,3.3291294690016753
410,710,0.06493318274112048,-21.74337769294709,1.7991882964124564,3.2899959825017837
411,711,-0.07508686419246224,-21.904366100922516,1.7676883221666835,3.22522712800639
412,712,-0.18279120962990264,-22.037946524499574,1.7281314348921757,3.1419042305495646
413,713,-0.2526336761217506,-22.138005013838505,1.6851172938270267,3.047172773781617
414,714,-0.2816316749989038,-22.20065428828812,1.642644145685245,2.947767255328299
415,715,-0.26954336234277626,-22.224434490375035,1.6039050536859143,2.8496497359106545
416,716,-0.21872210857305968,-22.21023072886805,1.5711819970214296,2.7577375525926757
417,717,-0.1339335612536323,-22.161190491046295,1.5457430137874681,2.6756954676809217
418,718,-0.022243563715606627,-22.08271259659816,1.527695104188224,2.6057350221875457
419,719,0.10724007965697065,-21.982260417895944,1.5158757804739176,2.5484402148825103
420,720,0.24394463749078696,-21.868841742323493,1.5079503761746296,2.50280864048984
421,721,0.3766018422747404,-21.752342168263034,1.5006743929809114,2.4665104389789856
422,722,0.49400550883297506,-21.642931837001264,1.49015405484376,2.4361299815333877
423,723,0.5856463131586626,-21.55055397397633,1.4720928885321602,2.4073510067314796
424,724,0.6422847189440565,-21.484373197775174,1.4421439029148735,2.375306775977895
425,725,0.6566369661478498,-21.45209373792755,1.396362884123336,2.3351081742918502
426,726,0.6240129424540007,-21.459349202805296,1.331572069629804,2.2822622432654467
427,727,0.5425245242444299,-21.50946704644737,1.2455189508572364,2.2128678160553683
428,728,0.4131422673764182,-21.603323865526146,1.137043950590635,2.123863435198525
429,729,0.23997003496601965,-21.73899495902751,1.006422859404672,2.013452745929
430,730,0.03016567448895887,-21.911741687915534,0.8555370758851366,1.8813231289136856
431,731,-0.20678920958490254,-22.114575655202465,0.6876395731113403,1.7284900836141934
432,732,-0.45965871949973214,-22.33866786020604,0.5071390697262634,1.5572072733411524
433,733,-0.7156639012588747,-22.5734670064445,0.3196412938369145,1.371080034665954
434,734,-0.9611506498250673,-22.807249633678463,0.1317424999008578,1.1749180049043217
435,735,-1.182745630943071,-23.028104442203723,-0.049588586770784836,0.9742124969984373
436,736,-1.3683116313341042,-23.224776009694878,-0.21756530295079285,0.7746765587342496
437,737,-1.5076031304447286,-23.387298751849496,-0.3658744243844304,0.5819767079535951
